candidate_id,rank,score,reasoning
CAND_0097176,35,0.7463,"Currently a ML Engineer at TCS deploying vector database, faiss, backed by 5.9 years of experience. Minor caveat: limited coverage of embeddings, semantic search."
CAND_0053605,36,0.7439,"Highly responsive candidate (0.88 rate). 6.9 years at Verloop.io working as a Senior Software Engineer (ML) utilizing vector database, semantic search, rag. Minor caveat: limited coverage of embeddings, hybrid retrieval."
CAND_0070544,37,0.7408,"Currently a AI Research Engineer at PolicyBazaar deploying vector database, weaviate, opensearch, backed by 4.9 years of experience. Minor caveat: experience (4.9yr) below 5yr minimum."
CAND_0018701,38,0.7399,"Currently a Junior ML Engineer at Krutrim deploying vector database, elasticsearch, retrieval, backed by 6.0 years of experience. Minor caveat: limited coverage of embeddings, semantic search."
CAND_0094685,39,0.7364,"Currently a AI Research Engineer at Krutrim deploying vector database, weaviate, backed by 3.5 years of experience. Minor caveat: experience (3.5yr) below 5yr minimum."
CAND_0024620,40,0.734,"Currently a AI Engineer at PharmEasy deploying vector database, semantic search, elasticsearch, backed by 5.9 years of experience. Minor caveat: minor overall signal gaps compared to top decile."
CAND_0092255,41,0.7336,"Strong open-source coder (78/100 GitHub). 5.2 years at InMobi working as a ML Engineer; skilled in vector database, semantic search, weaviate. Honest concern: minor overall signal gaps compared to top decile."
CAND_0065195,42,0.7327,"Strong open-source coder (87/100 GitHub). 5.1 years at CRED working as a Search Engineer; skilled in vector database, qdrant, elasticsearch. Honest concern: minor overall signal gaps compared to top decile."
CAND_0074735,43,0.7303,"Strong open-source coder (88/100 GitHub). 5.5 years at Rephrase.ai working as a Applied ML Engineer; skilled in vector database, semantic search, weaviate. Honest concern: 90-day notice period."
CAND_0067866,44,0.7296,"Currently a Senior Software Engineer (ML) at Tech Mahindra deploying embeddings, vector database, qdrant, backed by 6.4 years of experience. Honest concern: limited coverage of semantic search, hybrid retrieval."
CAND_0081053,45,0.7282,"Verified 89/100 on qlora assessment. Brings 5.4 years at Glance working as a NLP Engineer with vector database, semantic search, weaviate. Honest concern: 90-day notice period."
CAND_0039383,46,0.7264,"Strong open-source coder (86/100 GitHub). 7.1 years at Meesho working as a Applied ML Engineer; skilled in vector database, faiss, elasticsearch. Honest concern: 90-day notice period."
CAND_0008295,47,0.7198,"Highly responsive candidate (0.89 rate). 6.5 years at Razorpay working as a AI Research Engineer utilizing vector database, weaviate, retrieval. Honest concern: limited coverage of embeddings, semantic search."
CAND_0051936,48,0.7182,"Highly responsive candidate (0.81 rate). 3.9 years at Observe.AI working as a AI Research Engineer utilizing embeddings, vector database. Honest concern: experience (3.9yr) below 5yr minimum."
CAND_0006567,49,0.7175,"Verified 89/100 on fine-tuning llms assessment. Brings 7.9 years at Meta working as a Senior AI Engineer with retrieval, nlp. Honest concern: limited coverage of embeddings, vector database."
CAND_0017090,50,0.7149,"Strong open-source coder (73/100 GitHub). 5.5 years at Paytm working as a Senior Software Engineer (ML); skilled in vector database, weaviate, opensearch. Honest concern: limited coverage of embeddings, semantic search."
CAND_0020350,51,0.7143,"Verified 87/100 on nlp assessment. Brings 5.8 years at Zoho working as a AI Engineer with vector database, faiss, retrieval. Honest concern: limited coverage of embeddings, semantic search."
CAND_0017918,52,0.714,"Currently a ML Engineer at Aganitha deploying vector database, pinecone, weaviate, backed by 3.2 years of experience. Honest concern: experience (3.2yr) below 5yr minimum."
CAND_0046459,53,0.7135,"Highly responsive candidate (0.84 rate). 4.5 years at upGrad working as a AI Research Engineer utilizing vector database, semantic search, qdrant. Honest concern: experience (4.5yr) below 5yr minimum."
CAND_0054318,54,0.7135,"Highly responsive candidate (0.87 rate). 3.5 years at BYJU'S working as a AI Research Engineer utilizing vector database, semantic search, faiss. Honest concern: experience (3.5yr) below 5yr minimum."
CAND_0008425,55,0.7053,"7.8 years at Ola working as a Senior NLP Engineer; highly experienced with vector database, semantic search, qdrant. Honest concern: 90-day notice period."
CAND_0099675,56,0.704,"Currently a Junior ML Engineer at Locobuzz deploying vector database, pinecone, weaviate, backed by 3.9 years of experience. Honest concern: experience (3.9yr) below 5yr minimum."
CAND_0045475,57,0.7018,"Currently a ML Engineer at Genpact AI deploying vector database, pinecone, faiss, backed by 4.9 years of experience. Honest concern: experience (4.9yr) below 5yr minimum."
CAND_0009307,58,0.6995,"Strong open-source coder (70/100 GitHub). 3.3 years at Zomato working as a Data Engineer; skilled in vector database, weaviate, retrieval. Honest concern: experience (3.3yr) below 5yr minimum."
CAND_0044222,59,0.6993,"7.7 years at PolicyBazaar working as a AI Engineer; highly experienced with vector database, weaviate, qdrant. Honest concern: minor overall signal gaps compared to top decile."
CAND_0025640,60,0.6986,"Highly responsive candidate (0.87 rate). 5.6 years at HCL working as a AI Research Engineer utilizing vector database, semantic search, faiss. Honest concern: minor overall signal gaps compared to top decile."
CAND_0062413,61,0.6984,"Currently a AI Research Engineer at upGrad deploying vector database, semantic search, pinecone, backed by 6.6 years of experience. Honest concern: minor overall signal gaps compared to top decile."
CAND_0018722,62,0.6978,"Strong open-source coder (94/100 GitHub). 6.6 years at Saarthi.ai working as a Recommendation Systems Engineer; skilled in vector database, weaviate. Honest concern: 90-day notice period."
CAND_0018094,63,0.6953,"Currently a ML Engineer at Mad Street Den deploying vector database, semantic search, pinecone, backed by 5.2 years of experience. Honest concern: minor overall signal gaps compared to top decile."
CAND_0027691,64,0.6943,"Verified 87/100 on lora assessment. Brings 6.5 years at Haptik working as a NLP Engineer with embeddings, vector database, semantic search. Honest concern: minor overall signal gaps compared to top decile."
CAND_0025882,65,0.6936,"Currently a Senior Software Engineer (ML) at Freshworks deploying vector database, milvus, faiss, backed by 5.6 years of experience. Honest concern: limited coverage of embeddings, semantic search."
CAND_0049540,66,0.6924,"Highly responsive candidate (0.86 rate). 6.8 years at Saarthi.ai working as a ML Engineer utilizing vector database. Honest concern: limited coverage of embeddings, semantic search."
CAND_0090155,67,0.6911,"Strong open-source coder (76/100 GitHub). 5.8 years at Swiggy working as a ML Engineer; skilled in vector database, pinecone, qdrant. Honest concern: 90-day notice period."
CAND_0082262,68,0.6909,"Currently a Senior Software Engineer (ML) at Wipro deploying vector database, weaviate, backed by 5.9 years of experience. Honest concern: limited coverage of embeddings, semantic search."
CAND_0087744,69,0.6899,"Highly responsive candidate (0.88 rate). 3.9 years at Niramai working as a Senior Software Engineer (ML) utilizing vector database, pinecone, faiss. Honest concern: experience (3.9yr) below 5yr minimum."
CAND_0066376,70,0.6843,"Currently a Applied ML Engineer at Dream11 deploying vector database, semantic search, faiss, backed by 5.7 years of experience. Honest concern: 90-day notice period."
CAND_0077498,71,0.6808,"Highly responsive candidate (0.89 rate). 5.4 years at Niramai working as a Senior Software Engineer (ML) utilizing embeddings, vector database, milvus. Significant limitation: minor overall signal gaps compared to top decile."
CAND_0083307,72,0.6794,"7.8 years at CRED working as a Search Engineer; highly experienced with embeddings, vector database, semantic search. Significant limitation: 120-day notice period."
CAND_0007596,73,0.6791,"Highly responsive candidate (0.86 rate). 4.4 years at Flipkart working as a Junior ML Engineer utilizing vector database, semantic search, weaviate. Significant limitation: experience (4.4yr) below 5yr minimum."
CAND_0043450,74,0.6752,"Currently a AI Research Engineer at Krutrim deploying vector database, semantic search, weaviate, backed by 3.3 years of experience. Significant limitation: experience (3.3yr) below 5yr minimum."
CAND_0013111,75,0.6748,"Currently a AI Research Engineer at Saarthi.ai deploying embeddings, vector database, weaviate, backed by 4.2 years of experience. Significant limitation: experience (4.2yr) below 5yr minimum."
CAND_0026532,76,0.6747,"Currently a Recommendation Systems Engineer at Zomato deploying embeddings, vector database, semantic search, backed by 4.8 years of experience. Significant limitation: experience (4.8yr) below 5yr minimum."
CAND_0084819,77,0.6739,"Verified 89/100 on recommendation systems assessment. Brings 4.5 years at Dream11 working as a Search Engineer with vector database, semantic search, weaviate. Significant limitation: experience (4.5yr) below 5yr minimum."
CAND_0054546,78,0.6721,"Strong open-source coder (75/100 GitHub). 4.9 years at Razorpay working as a AI Research Engineer; skilled in vector database, qdrant, ranking. Significant limitation: experience (4.9yr) below 5yr minimum."
CAND_0014292,79,0.6687,"Currently a Software Engineer at Nykaa deploying vector database, elasticsearch, ranking, backed by 3.5 years of experience. Significant limitation: experience (3.5yr) below 5yr minimum."
CAND_0017590,80,0.6667,"Currently a AI Research Engineer at Genpact AI deploying vector database, semantic search, weaviate, backed by 5.1 years of experience. Significant limitation: minor overall signal gaps compared to top decile."
CAND_0022023,81,0.6606,"Currently a AI Research Engineer at Saarthi.ai deploying vector database, semantic search, elasticsearch, backed by 4.6 years of experience. Significant limitation: experience (4.6yr) below 5yr minimum."
CAND_0039587,82,0.6596,"Currently a Data Engineer at HCL deploying vector database, weaviate, backed by 6.2 years of experience. Significant limitation: limited coverage of embeddings, semantic search."
CAND_0046132,83,0.6592,"Highly responsive candidate (0.94 rate). 4.3 years at Verloop.io working as a AI Research Engineer utilizing retrieval, information retrieval. Significant limitation: experience (4.3yr) below 5yr minimum."
CAND_0094916,84,0.6588,"Currently a Junior ML Engineer at Tech Mahindra deploying embeddings, vector database, rag, backed by 3.7 years of experience. Significant limitation: experience (3.7yr) below 5yr minimum."
CAND_0081958,85,0.6548,"Strong open-source coder (71/100 GitHub). 5.2 years at Dream11 working as a Backend Engineer; skilled in vector database, qdrant, elasticsearch. Significant limitation: limited coverage of embeddings, semantic search."
CAND_0064904,86,0.6464,"Currently a AI Engineer at LinkedIn deploying embeddings, vector database, weaviate, backed by 4.9 years of experience. Significant limitation: experience (4.9yr) below 5yr minimum."
CAND_0077285,87,0.6402,"Strong open-source coder (76/100 GitHub). 5.5 years at Nykaa working as a Recommendation Systems Engineer; skilled in embeddings, vector database, pinecone. Significant limitation: minor overall signal gaps compared to top decile."
CAND_0040099,88,0.6398,"Verified 88/100 on nlp assessment. Brings 3.9 years at TCS working as a ML Engineer with vector database, elasticsearch, nlp. Significant limitation: experience (3.9yr) below 5yr minimum."
CAND_0090690,89,0.6393,"Currently a Data Engineer at Dream11 deploying vector database, pinecone, opensearch, backed by 4.9 years of experience. Significant limitation: experience (4.9yr) below 5yr minimum."
CAND_0032887,90,0.6376,"Highly responsive candidate (0.81 rate). 6.1 years at Niramai working as a ML Engineer utilizing vector database, qdrant, elasticsearch. Significant limitation: limited coverage of embeddings, semantic search."
CAND_0031593,91,0.6347,"7.8 years at Genpact AI working as a Search Engineer; highly experienced with embeddings, vector database, elasticsearch. Significant limitation: 90-day notice period."
CAND_0000273,92,0.6319,"Currently a ML Engineer at BYJU'S deploying vector database, qdrant, ranking, backed by 5.8 years of experience. Significant limitation: limited coverage of embeddings, semantic search."
CAND_0043228,93,0.6306,"Currently a Applied ML Engineer at Zoho deploying vector database, weaviate, opensearch, backed by 6.8 years of experience. Significant limitation: passive candidate status (not openly looking)."
CAND_0017960,94,0.6305,"Strong open-source coder (92/100 GitHub). 7.7 years at Nykaa working as a Recommendation Systems Engineer; skilled in vector database, qdrant, retrieval. Significant limitation: limited coverage of embeddings, semantic search."
CAND_0066999,95,0.6292,"Verified 90/100 on pinecone assessment. Brings 5.9 years at Microsoft working as a Recommendation Systems Engineer with embeddings, vector database, pinecone. Significant limitation: minor overall signal gaps compared to top decile."
CAND_0070333,96,0.627,"Currently a AI Research Engineer at TCS deploying vector database, semantic search, weaviate, backed by 4.7 years of experience. Significant limitation: experience (4.7yr) below 5yr minimum."
CAND_0087228,97,0.6266,"Currently a Software Engineer at Mindtree deploying vector database, qdrant, backed by 6.5 years of experience. Significant limitation: limited coverage of embeddings, semantic search."
CAND_0087494,98,0.6259,"Verified 86/100 on lora assessment. Brings 3.4 years at Genpact AI working as a ML Engineer with vector database, milvus, nlp. Significant limitation: experience (3.4yr) below 5yr minimum."
CAND_0011263,99,0.6252,"Currently a ML Engineer at Ola deploying vector database, pinecone, opensearch, backed by 5.1 years of experience. Significant limitation: minor overall signal gaps compared to top decile."
CAND_0085851,100,0.6251,"7.0 years at Genpact AI working as a ML Engineer; highly experienced with embeddings, vector database, qdrant. Significant limitation: limited coverage of semantic search, hybrid retrieval."
